Age,HourlyRate
41,94
37,92
28,50
36,82
34,83
32,72
39,56
24,61
50,86
26,48
41,49
48,98
28,50
36,79
46,64
37,63
20,66
25,46
34,66
56,72
31,76
58,94
19,50
31,71
51,53
32,41
19,100
19,47
41,70
35,50
38,70
29,35
32,32
30,88
30,52
29,85
29,86
33,58
33,39
32,62
37,61
31,71
28,79
47,88
44,43
26,45
26,48
18,54
52,85
28,84
39,41
29,77
21,99
33,34
41,56
40,68
21,90
34,67
26,73
30,40
25,91
24,62
34,33
29,71
19,52
33,56
33,38
31,66
34,43
22,99
26,58
18,69
26,66
32,60
24,55
30,74
31,46
27,85
45,100
20,32
33,70
24,65
50,50
28,67
42,57
33,63
47,77
55,78
26,38
23,63
29,36
33,69
58,31
28,46
49,43
55,37
26,88
35,96
29,48
32,87
58,57
20,49
21,65
22,34
41,57
39,70
25,36
19,37
20,84
36,51
37,46
58,51
40,100
31,46
29,92
30,48
35,39
20,98
30,60
37,61
26,79
52,57
36,43
36,81
26,57
20,54
21,36
51,34
28,72
44,91
35,86
33,54
25,32
26,37
33,55
28,45
50,81
39,84
18,80
33,77
31,72
29,45
42,44
28,79
43,85
44,96
22,48
41,95
24,97
19,96
25,73
45,94
21,45
44,73
29,39
32,79
39,93
40,57
52,64
31,54
44,89
58,53
55,85
31,90
35,67
31,98
27,51
49,97
29,84
31,50
31,34
25,68
46,52
39,54
31,100
31,94
34,52
28,92
29,51
34,40
24,89
28,38
29,100
40,86
31,33
30,64
35,69
53,78
38,81
28,51
18,70
35,55
35,59
40,73
35,36
23,93
48,95
32,95
23,99
24,58
47,82
36,96
32,34
30,66
29,52
33,74
31,70
43,38
21,31
22,79
44,99
35,84
34,93
37,58
26,69
46,66
31,89
29,56
32,82
29,73
46,64
30,89
22,75
34,85
56,97
29,45
28,84
32,47
27,58
28,32
31,63
53,66
23,33
29,36
56,72
50,94
50,39
